Epoch,E2W_COR_FLUX
2019-02-05 14:32:00,456.7573
2019-02-05 14:33:00,432.56705
2019-02-05 14:34:00,440.93436
2019-02-05 14:35:00,463.55106
2019-02-05 14:36:00,421.732
2019-02-05 14:37:00,425.4939
2019-02-05 14:38:00,418.65625
2019-02-05 14:39:00,406.69846
2019-02-05 14:40:00,425.4562
2019-02-05 14:41:00,453.86514
2019-02-05 14:42:00,441.70078
2019-02-05 14:43:00,440.27246
2019-02-05 14:44:00,465.8729
2019-02-05 14:45:00,472.6974
2019-02-05 14:46:00,468.15146
2019-02-05 14:47:00,461.80627
2019-02-05 14:48:00,477.76523
2019-02-05 14:49:00,459.9324
2019-02-05 14:50:00,459.01782
2019-02-05 14:51:00,480.38614
2019-02-05 14:52:00,513.56934
2019-02-05 14:53:00,494.4307
2019-02-05 14:54:00,484.41443
2019-02-05 14:55:00,462.35413
2019-02-05 14:56:00,488.97128
2019-02-05 14:57:00,519.68536
2019-02-05 14:58:00,519.624
2019-02-05 14:59:00,501.82
2019-02-05 15:00:00,481.9296
2019-02-05 15:01:00,461.70926
2019-02-05 15:02:00,459.59805
2019-02-05 15:03:00,469.70374
2019-02-05 15:04:00,486.38983
2019-02-05 15:05:00,468.76187
2019-02-05 15:06:00,474.97653
2019-02-05 15:07:00,457.87427
2019-02-05 15:08:00,430.18286
2019-02-05 15:09:00,455.24496
2019-02-05 15:10:00,469.27365
2019-02-05 15:11:00,455.271
2019-02-05 15:12:00,470.64822
2019-02-05 15:13:00,441.2706
2019-02-05 15:14:00,448.63492
2019-02-05 15:15:00,432.5475
2019-02-05 15:16:00,420.7227
2019-02-05 15:17:00,463.93936
2019-02-05 15:18:00,461.03217
2019-02-05 15:19:00,440.9172
2019-02-05 15:20:00,438.52298
2019-02-05 15:21:00,439.45355
2019-02-05 15:22:00,462.96277
2019-02-05 15:23:00,425.1594
2019-02-05 15:24:00,413.70987
2019-02-05 15:25:00,448.75433
2019-02-05 15:26:00,420.44684
2019-02-05 15:27:00,423.40988
2019-02-05 15:28:00,443.8217
2019-02-05 15:29:00,443.62817
2019-02-05 15:30:00,452.40125
2019-02-05 15:31:00,450.56964
2019-02-05 15:32:00,402.57266
2019-02-05 15:33:00,418.51883
2019-02-05 15:34:00,457.7434
2019-02-05 15:35:00,439.75403
2019-02-05 15:36:00,411.32324
2019-02-05 15:37:00,407.47537
2019-02-05 15:38:00,405.8461
2019-02-05 15:39:00,422.5869
2019-02-05 15:40:00,424.43875
2019-02-05 15:41:00,407.34686
2019-02-05 15:42:00,385.40976
2019-02-05 15:43:00,414.56747
2019-02-05 15:44:00,414.25674
2019-02-05 15:45:00,440.21173
2019-02-05 15:46:00,409.06628
2019-02-05 15:47:00,413.13647
